feature,theta,se_within,se_across,se_combined,t_stat,p_raw,ci_lo,ci_hi,p_bh,sig_bh,sig_raw,spec,dimension,feature_label
front_setback,0.06458179241827379,0.021255871306850912,0.018983870553751694,0.028499112375914598,2.2660983811149737,0.02344536035184607,0.00872455857012145,0.12043902626642614,0.0984705134777535,†,*,GB_NoTravel,D3,"front_setback (scraped, inv.)"
lot_width,0.034856684051017356,0.010442474547692204,0.02151514222190378,0.023915405484915917,1.457499186999041,0.14497863561948343,-0.012016649375089505,0.08173001747712422,0.26700192240492465,,,GB_NoTravel,D3,"lot_width (scraped, inv.)"
frontage_std,0.04546836543596128,0.01916890269415819,0.025246533389207123,0.031699121102492026,1.4343730631820826,0.15146583035419164,-0.016660770266496705,0.10759750113841926,0.26700192240492465,,,GB_NoTravel,D3,frontage_std (binary)
transparency_activation,0.07986589969026628,0.030176470831398697,0.04167145112816658,0.051450259775490274,1.552293419678953,0.12059203171069563,-0.020974756464924513,0.18070655584545708,0.26700192240492465,,,GB_NoTravel,D3,transparency_activation (LLM)
setback_building_placement,0.042044710351506226,0.0255872807914245,0.04104351216617204,0.0483660917299911,0.8693013813525668,0.3846823075340853,-0.052751087512236894,0.13684050821524935,0.6214098814012148,,,GB_NoTravel,D5,setback_building_placement (LLM)
side_setback,-0.0058533413316052465,0.01675943924013907,0.02045317089884759,0.026442598273645104,-0.2213602941371754,0.8248119062357445,-0.05767988160561066,0.045973198942400165,0.8660525015475317,,,GB_NoTravel,D5,"side_setback (scraped, inv.)"
rear_setback,-0.01166961914073801,0.0194453871587734,0.01589055222258622,0.02511240194989976,-0.46469545860325767,0.6421495610202363,-0.060889022527834964,0.03754978424635894,0.8152450602477309,,,GB_NoTravel,D5,"rear_setback (scraped, inv.)"
form_based_design,-0.08703555029729629,0.04327569896518237,0.030455375343918654,0.05291801213447133,-1.644724485797539,0.1000266409405569,-0.19075294821431366,0.016681847619721066,0.26700192240492465,,,GB_NoTravel,D6,form_based_design (LLM)
human_scale_design,-0.09067178007455418,0.02249523554470633,0.011612079031776353,0.025315528863763426,-3.5816664373281766,0.00034140952602634177,-0.1402893048971147,-0.04105425525199367,0.002715937320620193,**,***,GB_NoTravel,D6,human_scale_design (binary)
ped_scale_lang,0.022580253697893404,0.04113320154515306,0.042586876437683434,0.05920795819881563,0.38137193689521776,0.7029272814872498,-0.09346521196993823,0.13862571936572504,0.8152450602477309,,,GB_NoTravel,D6,ped_scale_lang (binary)
transit_orientation,0.2698417329829599,0.0507894681495209,0.05660689510325191,0.0760520259305547,3.5481202463871266,0.0003879910458028847,0.12078250120776637,0.4189009647581534,0.002715937320620193,**,***,GB_NoTravel,D7,transit_orientation (LLM)
transit_orient,0.08191055054809418,0.01551561468041211,0.008333352193202295,0.017611901024221357,4.650863665168454,3.3054780225395533e-06,0.04739185884133623,0.11642924225485213,6.941503847333061e-05,***,***,GB_NoTravel,D7,transit_orient (binary)
open_space_green,-0.10280006994444957,0.01875854119573886,0.032671586521548876,0.0376738030151893,-2.7286884178643365,0.006358675295705014,-0.1766393670148771,-0.028960772874022045,0.03338304530245132,*,**,GB_NoTravel,D8,open_space_green (LLM)
